"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","BASE","BSV-BASE","seBASE","seBSV-BASE","shrinkage_eta1(%)","shrinkage_iwres(%)","EI1","EI2"
1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,3,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,4,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,5,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,6,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,7,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,8,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,9,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,11,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,12,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,13,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,14,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,15,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,16,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,17,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,18,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,19,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,20,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,21,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,22,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,23,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,24,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,25,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,,0:00:20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
